"It's really quite amazing.  I use it most of the time.  I still have to watch out for a few things it doesn't handle and a few intersections it has trouble with, so it certainly does require supervision.","It's really quite amazing.  I use it most of the time.  I still have to watch out for a few things it doesn't handle and a few intersections it has trouble with, so it certainly does require supervision."
"I commute 40 miles per day with my Model 3 just like this through 2 busy towns with traffic circles, hands resting in my lap. Cracks me up when people think their car with ""lane assist"" is doing the same thing. ""Well my (insert other brand name here) can do that."" No, no it can't.","I commute 40 miles per day with my Model 3 just like this through 2 busy towns with traffic circles, hands resting in my lap. Cracks me up when people think their car with ""lane assist"" is doing the same thing. ""Well my (insert other brand name here) can do that."" No, no it can't."
Love it every day when I go out to test FSD supervised. It is a huge improvement from when I started testing years ago,Love it every day when I go out to test FSD supervised. It is a huge improvement from when I started testing years ago
Naughty Production Channel Hacker,Naughty Production Channel Hacker
Truly incredible work by the Tesla team,Truly incredible work by the Tesla team
"Tesla in 2034: Owner: Tesla, come get me from work! Tesla: Sure, I am there in 5 minutes.","Tesla in 2034: Owner: Tesla, come get me from work! Tesla: Sure, I am there in 5 minutes."
Well done!    Excellent introduction to FSD.    shout out to the engineers who have worked endlessly on this project!,Well done!    Excellent introduction to FSD.    shout out to the engineers who have worked endlessly on this project!
"Thanks Tesla for the 1 month free trial of FSD supervised on my Model X and Model Y.  It blew my mind!  So fun to see how far it has come since 2018 when our Model X couldn't even lane keep without ""ping-ponging"" the lane lines.  First impressions on our first few drives with FSD Supervised was like WOW this is 99% there!  It's going to be a ""march of 9's"" for Tesla now. After about 10 drives in increasing tough conditions though my assessment dropped to eh, maybe more like 85-90% there which is still massively impressive.  Congrats to the AI team.  I'm now a believer that some day soon Tesla's FSD will be safer than humans.","Thanks Tesla for the 1 month free trial of FSD supervised on my Model X and Model Y.  It blew my mind!  So fun to see how far it has come since 2018 when our Model X couldn't even lane keep without ""ping-ponging"" the lane lines.  First impressions on our first few drives with FSD Supervised was like WOW this is 99% there!  It's going to be a ""march of 9's"" for Tesla now. After about 10 drives in increasing tough conditions though my assessment dropped to eh, maybe more like 85-90% there which is still massively impressive.  Congrats to the AI team.  I'm now a believer that some day soon Tesla's FSD will be safer than humans."
быстро разбанил Кедрову Василису!,Quickly diluted Kedrov Vasilisa!
"Imagine a reverse smart summon. Tell the vehicle to go park, OR keep circling until you're ready if in an area with a lot of parking restrictions / paid parking. Then having smart summon distance increased to pick you up when desired. ""Smart Valet""","Imagine a reverse smart summon. Tell the vehicle to go park, OR keep circling until you're ready if in an area with a lot of parking restrictions / paid parking. Then having smart summon distance increased to pick you up when desired. ""Smart Valet"""
Inventing the future. Imagine all the lives this will save,Inventing the future. Imagine all the lives this will save
"Ich habe Full Self-Driving neulich in den USA ausprobiert und es war super beeindruckend!
Klar passieren manchmal Fehler, aber das System hat schon richtig was drauf und wird mit Softwareupdates weiter verbessert. Hoffentlich kommt der Spa? 2025 auch nach Europa","I tried Full Self-Driving recently in the USA and it was super impressive!
Sometimes mistakes happen, but the system really has something on it and is further improved with software updates.Hopefully the fun in 2025 will also come to Europe"
"As someone who has difficulty concentrating on the road, I hope Tesla continues to improve to help people like me because having an ebike is good all but not when the road gets icy.","As someone who has difficulty concentrating on the road, I hope Tesla continues to improve to help people like me because having an ebike is good all but not when the road gets icy."
"as much as i hate tesla, it is undeniable how insane this technology is and i think it will be revolutionary at some point","as much as i hate tesla, it is undeniable how insane this technology is and i think it will be revolutionary at some point"
Tesla has done it again!,Tesla has done it again!
"its definitely getting better. I wouldn't say its less stressful than actually driving yourself. yet. 
I do like it for long farm country drives, but for some reason, while approaching a stop sign at 90kph - it waits and applies quite a bit of brake pedal (not just regen) rather than regen to a nice smooth stop. its like it can't see it far enough, yet the stop sign is on the map...","its definitely getting better. I wouldn't say its less stressful than actually driving yourself. yet. 
I do like it for long farm country drives, but for some reason, while approaching a stop sign at 90kph - it waits and applies quite a bit of brake pedal (not just regen) rather than regen to a nice smooth stop. its like it can't see it far enough, yet the stop sign is on the map..."
"I used it quite a bit during the month free trial and It was absolutely amazing what it can do but I had to disengage it at least every 5 minutes because it would drive 10 mi/hr faster than it should in a small residential area or it would want to hit a curb on a roundabout. It was really amazing what it could do around pedestrians; being slow and safe and left turns were also incredible, but there's just so many little things that make it seem like it's not ready yet.","I used it quite a bit during the month free trial and It was absolutely amazing what it can do but I had to disengage it at least every 5 minutes because it would drive 10 mi/hr faster than it should in a small residential area or it would want to hit a curb on a roundabout. It was really amazing what it could do around pedestrians; being slow and safe and left turns were also incredible, but there's just so many little things that make it seem like it's not ready yet."
I think that the best part about Teslas is that they use clean energy. This will enable the air of the planet to get cleaner. Self driving might be useful if can get the accidents to get lower or inexistent.,I think that the best part about Teslas is that they use clean energy. This will enable the air of the planet to get cleaner. Self driving might be useful if can get the accidents to get lower or inexistent.
"ВЕРНИ КАНАЛ !!!!! 
ДЛЯ ТЕХ КТО НЕ ЗНАЕТ ЭТОТ КАНАЛ БЫЛ ВЗЛОМАН , ВИДЕО ПОДДЕЛЬНЫЕ","Return the channel !!!!!
For those who do not know this channel was hacked, fake videos"
"dan o'dowd disapproves, green hills software disapproves, everyone else loves it!","dan o'dowd disapproves, green hills software disapproves, everyone else loves it!"
YALL GIVE GIO HIS CHANNEL BACK,YALL GIVE GIO HIS CHANNEL BACK
Awesome work Tesla team! Hopefully I can get some new videos out! 1:17,Awesome work Tesla team! Hopefully I can get some new videos out! 1:17
Почему вы взломали канал?,Why did you hack the channel?
"People who buy this types of cars, sometimes I wonder where they work, because I've been a doctor for more than 8 years and I have still not gotten my dream car.","People who buy this types of cars, sometimes I wonder where they work, because I've been a doctor for more than 8 years and I have still not gotten my dream car."
Waiting for Europe <3,Waiting for Europe <3
"GIVE GIO HIS CHANNEL BACK NOW!

JUSTICE FOR GIO 

JUSTICE FOR GIO","GIVE GIO HIS CHANNEL BACK NOW!

JUSTICE FOR GIO 

JUSTICE FOR GIO"
We need this in Europe!,We need this in Europe!
Justice For Naughty Productions,Justice For Naughty Productions
Luv the Tesla model x have been using it for the past 5 months it's pretty good,Luv the Tesla model x have been using it for the past 5 months it's pretty good
We need more pushing FSD and its abilities!,We need more pushing FSD and its abilities!
One day it will come to Australia. It has been a long wait for us outside of NA. I bought FSD over 3 years ago now...,One day it will come to Australia. It has been a long wait for us outside of NA. I bought FSD over 3 years ago now...
I am a Tesla driver in Germany and hope that FSD will soon be available in Germany.,I am a Tesla driver in Germany and hope that FSD will soon be available in Germany.
Tesla ponna,Tesla is
ВАСИЛИСА!ВЕРНИ АККАУНТ ВАСИЛИСЕ,Vasilisa! Return the account Vasilisa
I'm still blown away of what the earlier version could do a couple months ago during the FSD trial.,I'm still blown away of what the earlier version could do a couple months ago during the FSD trial.
I have had it for about a year.... Absolutely amazing.  I love using it.  I rarely drive anywhere.,I have had it for about a year.... Absolutely amazing.  I love using it.  I rarely drive anywhere.
I love FSD on my 2020 Model X but you’ve got to fix the acceleration and braking. The car accelerates too fast and has a habit of braking late and hard.,I love FSD on my 2020 Model X but you’ve got to fix the acceleration and braking. The car accelerates too fast and has a habit of braking late and hard.
Their cars are as elegant as their elegance is wonderful.,Their cars are as elegant as their elegance is wonderful.
Man if I can ever make enough money I'm in. Love it,Man if I can ever make enough money I'm in. Love it
This is mind blowing,This is mind blowing
I’ve been on waymo a few times now.  You guys are lagging and I want you to win this race.,I’ve been on waymo a few times now.  You guys are lagging and I want you to win this race.
if you haven't experienced this first hand - You have no idea...,if you haven't experienced this first hand - You have no idea...
Tesla constantly work increasing its experience and creating better solutions tailored to your needs.,Tesla constantly work increasing its experience and creating better solutions tailored to your needs.
Finch at 4rabet events is like a stamp of excellence always a sign that things are gonna be awesome,Finch at 4rabet events is like a stamp of excellence always a sign that things are gonna be awesome
"ЛЮДИ, ТУТ ЕСТЬ КТО-ТО ПОСЛЕ ВИДЕО О ВЗЛОМЕ?","People, is there someone after the video about the hacking?"
КАНАЛ ВАСИЛИСЕ ВЕРНИТЕ,Vasilise channel faithful
"That's great. Now if you just make it available in Australia, I'll be actually able to use what I paid for more than 3 years ago........","That's great. Now if you just make it available in Australia, I'll be actually able to use what I paid for more than 3 years ago........"
"Every week 4ra surprises us with some cool prizes, that’s why I stick with them","Every week 4ra surprises us with some cool prizes, that’s why I stick with them"
Where is 12.5 for HW3???,Where is 12.5 for HW3???
!!!ВЕРНИТЕ КАНАЛ!!!,!!! The faithful channel !!!
"O tesla quem tu pensa que é pra roubar um dos maiores e melhores canais de terror do brasil em? Nao pense que vai se safar dessa,vamos trazer o theux de volta!","Tesla who you think it's to steal one of the largest and best horror channels in Brazil in?Don't think you will get away with this, let's bring Theux back!"
What this doesn’t show is that you still have to have your hands on the wheel and if you take your eyes off the road (camera tracking you) then it suddenly turns off and gives you a strike. 3 strikes and it bans you from using it.,What this doesn’t show is that you still have to have your hands on the wheel and if you take your eyes off the road (camera tracking you) then it suddenly turns off and gives you a strike. 3 strikes and it bans you from using it.
4ra having Finch as an ambassador adds a layer of trust and class to their events pure quality,4ra having Finch as an ambassador adds a layer of trust and class to their events pure quality
CADE O THEUX PELO AMOR DE DEUS ??!?!?!!,Cade Theux for the sake of God ??!?!? !!
Что ви зделали з каналам девочек подписчики девчонак даваите чото зделаем,"What did you make the channels of girls subscribers of girls, let's make it"
"excuse me, but this is not your channel!! because in the YouTube community you have original photos of the authors!! Bring back the channel, the author of this channel is named:Vasylisa!! It's not your channel!!","excuse me, but this is not your channel!! because in the YouTube community you have original photos of the authors!! Bring back the channel, the author of this channel is named:Vasylisa!! It's not your channel!!"
I love Tesla Projects . Perfect!,I love Tesla Projects . Perfect!
Following some tips from my brother turned into a decent win last month. Ever had a win that felt extra sweet because it came from a tip,Following some tips from my brother turned into a decent win last month. Ever had a win that felt extra sweet because it came from a tip
ВЕРНИТЕ АККАУНТ ВЛАДЕЛЬЦУ,Return the account to the owner
O que vocês fizeram com canal do theux?,What did you do with Theux channel?
Australia.. when?,Australia.. when?
"Big shoutout to the 4ra support team from me as well, helped me navigate the site and place my first bet  They’re awesome!","Big shoutout to the 4ra support team from me as well, helped me navigate the site and place my first bet  They’re awesome!"
??? ??????? channel ????????,??? ??????? channel ????????
Now bring it to australia please,Now bring it to australia please
Now start rolling it out to more people!. My 24 Model 3 Performance still doesn't have the update.,Now start rolling it out to more people!. My 24 Model 3 Performance still doesn't have the update.
I like how 4RA gives good bonuses.,I like how 4RA gives good bonuses.
It'd be nice Minimal Lane Change option actually worked again.,It'd be nice Minimal Lane Change option actually worked again.
НЕ СТЫДНО ВЗЛАМЫВАТЬ АККАУНТЫ???,Not ashamed to hack accounts ???
Людииии это взломаный акк,People are a hacking AKK
Вы чё охренели взламывать чужой канал?,What are you fucking hacking someone else's channel?
Sounds perfect. Please let us know if the tests are finalised and when / where this technology would be available.,Sounds perfect. Please let us know if the tests are finalised and when / where this technology would be available.
"Its getting better every day, but not navigating the construction zones correctly, mostly cones. Last week it almost jump off the cliff.","Its getting better every day, but not navigating the construction zones correctly, mostly cones. Last week it almost jump off the cliff."
Come on UK!,Come on UK!
GIVE GIO HIS ACCOUNT BACK,GIVE GIO HIS ACCOUNT BACK
Adam?n hesab?n? geri ver,Give back the man's account
"4ra’s betting scene is something else, yaar. Never disappointing with the odds and prizes","4ra’s betting scene is something else, yaar. Never disappointing with the odds and prizes"
Wisdom and intelligence in a machine! Wow! I like the word supervised. I believe the word really counts!,Wisdom and intelligence in a machine! Wow! I like the word supervised. I believe the word really counts!
Bring stalks back! A large portion of your customers aren't buying a tesla (but want one) due to the lack of stalks.,Bring stalks back! A large portion of your customers aren't buying a tesla (but want one) due to the lack of stalks.
Вы какого фига канал украли ?!,What kind of fig to the channel stole?!
FSD will arrive in Europe. That's inevitable!,FSD will arrive in Europe. That's inevitable!
I'm often feel sleep and tired coming home from work. I think it's a good feature to prevent accident.,I'm often feel sleep and tired coming home from work. I think it's a good feature to prevent accident.
"A si claro, este canal era hermoso y tenían que venir ustedes.","Of course, this channel was beautiful and you had to come."
return the account to the owner,return the account to the owner
Justice for killsmarty..,Justice for killsmarty..
Give Gio his account back,Give Gio his account back
I'm mostly into roulette; the vibe feels just like a real casino. Got any favorites when it comes to table games,I'm mostly into roulette; the vibe feels just like a real casino. Got any favorites when it comes to table games
"Mr. Musk, South Korean TESLA owners paid for FSD but are still waiting with no timeline in sight. It's frustrating to see the US enjoying this feature while we’re left in the dark. Please bring FSD to South Korea soon.","Mr. Musk, South Korean TESLA owners paid for FSD but are still waiting with no timeline in sight. It's frustrating to see the US enjoying this feature while we’re left in the dark. Please bring FSD to South Korea soon."
Fake account laz is real you badasss,Fake account laz is real you badasss
Full Self-Driving (not really),Full Self-Driving (not really)
"Give youth vidhya kul channel back.
#youthvidhyakul","Give youth vidhya kul channel back.
#youthvidhyakul"
Thanks bn adarei,Thanks bn adarei
"I love my FSD. I like to play games on my phone while it does its thing. Hell, I've even gone to the bar and back. No problems at all, I would rate this 9/10. Hopefully they improve its function just a tad bit more.","I love my FSD. I like to play games on my phone while it does its thing. Hell, I've even gone to the bar and back. No problems at all, I would rate this 9/10. Hopefully they improve its function just a tad bit more."
Ué cadê o theux musk?,Hey where's Theux Musk?
Верните профиль в Ютуб настоящему владельцу.Мошенники.,Return the profile to YouTube to the real owner. Mosheners.
Mitro ek video 2 channel par chhe tesla original and aapdi vidhyakul ma to technical problem chhe solve karse youtube,Mitro ek video 2 channel par chhe tesla original and aapdi vidhyakul ma to technical problem chhe solve karse youtube
"how would FSD do in rougher weather (rainstorm, snow storm)","how would FSD do in rougher weather (rainstorm, snow storm)"
How did u guys manage to steal this account? He was a volunteer for funding after earthquake. Please give his account back.,How did u guys manage to steal this account? He was a volunteer for funding after earthquake. Please give his account back.
Ape kollonge chanal eka dipan wesige puthala,Puthala to Channel Aka Deepam Vesi
ВЕРНИТЕ КАНАЛ ВАСИЛИСЕ!!!,The faithful channel Vasilise !!!
"‘22 M3 LR owner: this video is very carefully, selectively edited. I’d be lucky to go an entire day without some incident involving autosteer.","‘22 M3 LR owner: this video is very carefully, selectively edited. I’d be lucky to go an entire day without some incident involving autosteer."
THEUX CADE TU??,Theux cade you ??
Give channel back naw,Give channel back naw
You took Sergio’s ACCOUNT?,You took Sergio’s ACCOUNT?
I love Tesla car self driving from Cambodia,I love Tesla car self driving from Cambodia
It works amazingly,It works amazingly
Верните канал автору!!!,Return the channel to the author !!!
Theux???????????,Theux ???????????
Why you hacked this channel you have no idea who is he,Why you hacked this channel you have no idea who is he
Absolutely amazing,Absolutely amazing
Aaron Finch with 4rabet showcases their commitment to excellence in sports and more,Aaron Finch with 4rabet showcases their commitment to excellence in sports and more
"The engineers have done great work, but if it needs to be supervised, it shouldn't be called full self driving","The engineers have done great work, but if it needs to be supervised, it shouldn't be called full self driving"
DEVOLVE O CANAL DO THEUX,Return the Theux Channel
This is mizanur rahman azhari channel,This is mizanur rahman azhari channel
Tesla : look what our car can do ? lol,Tesla : look what our car can do ? lol
Please recover our vidyakul gujarati channel because that is future of our life,Please recover our vidyakul gujarati channel because that is future of our life
ВЕРНИ АККАУНТ!!!!,Return the account !!!!
THEUX ?????,Theux ?????
"Needs road hazard avoidance: pot holes, road debris, etc.","Needs road hazard avoidance: pot holes, road debris, etc."
Is roundabouts finally working? Ill have to test this out. Other than that it does do all this very well. Been a fun experience to see this go from stopping at yellow flashing lights to pulling off the turnpike to go to a restaurant without intervention,Is roundabouts finally working? Ill have to test this out. Other than that it does do all this very well. Been a fun experience to see this go from stopping at yellow flashing lights to pulling off the turnpike to go to a restaurant without intervention
"It's quite impressive, actually.  But we still have to intervene on occasion.  Such as when it makes a right turn when it's navigated to go straight.","It's quite impressive, actually.  But we still have to intervene on occasion.  Such as when it makes a right turn when it's navigated to go straight."
"Ненормальные,канал верните владельцу. Так же нельзя","Abnormal, the channel return to the owner.It is also impossible"
What did you mean by stealing the account of an academician who took important steps for our country?,What did you mean by stealing the account of an academician who took important steps for our country?
Give Gios Chanel back he work so hard for it and now you are stealing it so give it back and do your own Chanel. Justice for Gio!,Give Gios Chanel back he work so hard for it and now you are stealing it so give it back and do your own Chanel. Justice for Gio!
FSD has been a game changer when it comes to road trips. Nothing comes close,FSD has been a game changer when it comes to road trips. Nothing comes close
Nice editing . Post uncut version,Nice editing . Post uncut version
We went to back Dr mizanur Rahman azhari,We went to back Dr mizanur Rahman azhari
Верните аккаунт,Return the account
This is not your channel,This is not your channel
But can it do 180 degree and Drifts and turns??,But can it do 180 degree and Drifts and turns??
"Still not possible in Indonesia

The A.I wouldn't be able to process the chaotic motorcycle drivers here lol","Still not possible in Indonesia

The A.I wouldn't be able to process the chaotic motorcycle drivers here lol"
Give gio his account back,Give gio his account back
N?O THEUX N?O TEM M?ES SOLTEIRS A 3KM DE DISTANCIA é MENTIRA,N?O THEUX N?O TEM M?ES SOLTEIRS A 3KM DE DISTANCIA é MENTIRA
"We want youth vidhyakul back
Sab itna like or spam karo ki ye hacker bhi sochhe ki itna sara pyar","They are want youth
Everyone should write so much and spam that even this hacker should think that so much love"
Chat you should give killsmarty  his Chanel back,Chat you should give killsmarty  his Chanel back
I sent it to connotation of Connecticut,I sent it to connotation of Connecticut
Devolve a conta do theux mano.. coe mano fez nada de errado e seis vem com essa.,Returns the account of Theux Mano .. Coe Mano did nothing wrong and six comes with this one.
"This is not your account bring back the account to the real owner,","This is not your account bring back the account to the real owner,"
I stopped driving on the freeway for nearly a decade because of my panic attacks. My whole life revolves around a 5 mile radius. How life changing it would be when its fully sustainable to drive on its own.,I stopped driving on the freeway for nearly a decade because of my panic attacks. My whole life revolves around a 5 mile radius. How life changing it would be when its fully sustainable to drive on its own.
"Bro, did you try the new features on 4RAB? It's awesome.","Bro, did you try the new features on 4RAB? It's awesome."
tesla channel hack our vidhyakul gujrati. we want back our vidhyakul gujrati back,tesla channel hack our vidhyakul gujrati. we want back our vidhyakul gujrati back
Guys this account got hacked it's not tesla I suggest you unsub and find the real tesla and sub to them,Guys this account got hacked it's not tesla I suggest you unsub and find the real tesla and sub to them
Thats so impressive how far technologies can go.,Thats so impressive how far technologies can go.
"This channel is NOT from TESLA, this channel is from a Brazilian youtuber, you hackers have no shame","This channel is NOT from TESLA, this channel is from a Brazilian youtuber, you hackers have no shame"
Что за воровство !!!,What theft !!!
Devolvem o canal do Theux!!!!,Return the Theux channel !!!!
Give back the account!!!,Give back the account!!!
Excelente desempe?o.. quisiera saber porque no aprovechar el movimiento de las ruedas para producir su propia energía con Dínamos ? No se esta desperdiciando esta fuente de energía ? Solo quería compartir esa inquietud que siempre he tenido...,Excellent performance .. I would like to know why not take advantage of the movement of the wheels to produce your own energy with dynamics?Isn't this energy source wasting?I just wanted to share that concern that I have always had ...
SUPER IDEA . POZDRAWIAM .,SUPER IDEA . POZDRAWIAM .
верните канал Василисе,the faithful channel Vasilise
Hackearam o canal do Theux!,They hacked the Theux channel!
"People this not his account, wake up","People this not his account, wake up"
"Self driving can save millions of lives, it can also make the streets safer, I see that from now 10 years all cars or most of them will be self driving and in 30 years cars who don't have self driving option might be banned.","Self driving can save millions of lives, it can also make the streets safer, I see that from now 10 years all cars or most of them will be self driving and in 30 years cars who don't have self driving option might be banned."
Canal do FA,Canal do FA
"BRING BACK THE HACKER CHANNEL, IT'S NOT YOUR CHANNEL, YOU HACKED IT FROM A RUSSIAN BLOGGER!","BRING BACK THE HACKER CHANNEL, IT'S NOT YOUR CHANNEL, YOU HACKED IT FROM A RUSSIAN BLOGGER!"
канал верните!!!!!,Channel Faithful !!!!!
Man its crazy to think in like maybe 5-10 years it will probably be perfect,Man its crazy to think in like maybe 5-10 years it will probably be perfect
"Full Self-Driving is such a misnomer it should be challenged in court.  If it's Full Self-Driving, I want to sit in the back seat, drunk and asleep the whole way home.","Full Self-Driving is such a misnomer it should be challenged in court.  If it's Full Self-Driving, I want to sit in the back seat, drunk and asleep the whole way home."
when will it not try to pass school buses with flashing red lights and slow down for school zone speed limits?  I’m still seeing the latter at least with FSD 12.5.2 HW4.  The optics would look very bad if the school bus issue isn’t yet resolved and hits a kid getting off of a school bus.,when will it not try to pass school buses with flashing red lights and slow down for school zone speed limits?  I’m still seeing the latter at least with FSD 12.5.2 HW4.  The optics would look very bad if the school bus issue isn’t yet resolved and hits a kid getting off of a school bus.
"Caralho, roubaram o canal!","Fuck, they stole the channel!"
ВЕРНИТЕ КАНАЛ!!!!!,The faithful channel !!!!!
Pls Give The channel back to the boysthis is not fair,Pls Give The channel back to the boysthis is not fair
Amazing,Amazing
"PAREM COM ISSO, ESSE CANAL N?O é SEU","Stop it, this channel is not yours"
stop scamming people with the fake live!!!,stop scamming people with the fake live!!!
I DONT CARE ABOUT U THE FACT THAT U HACKED GIOS ACCOUNT IS JUST RUDE AND TERRIBLE MAKE UR OWN ACCOUNT AND EARN UR OWN SUBS..,I DONT CARE ABOUT U THE FACT THAT U HACKED GIOS ACCOUNT IS JUST RUDE AND TERRIBLE MAKE UR OWN ACCOUNT AND EARN UR OWN SUBS..
Can someone hijack the controls through WIFI or CELL JAM?,Can someone hijack the controls through WIFI or CELL JAM?
Can I test drive if I won’t buy it?,Can I test drive if I won’t buy it?
Верните канал Василисе Кедровой!Воры!,Return the channel Vasilisa Kedrova! Thieves!
Owner with skill drive,Owner with skill drive
Super Cool!,Super Cool!
??? ?????? ?????? ???????? ?????,??? ?????? ?????? ???????? ?????
Hacked,Hacked
u hacked gio,u hacked gio
So amazing,So amazing
Bro give killsmartyr his channel back like with yo ugly ahh cyber trucks,Bro give killsmartyr his channel back like with yo ugly ahh cyber trucks
"Love how 4ra keeps everything transparent, makes me trust betting with them more","Love how 4ra keeps everything transparent, makes me trust betting with them more"
GIVE GIO ACCOUNT BACK!!,GIVE GIO ACCOUNT BACK!!
We need this in Europe,We need this in Europe
we want back mizanur Rahman azhari channel ???????????????????????????? 0:43 ????????????????????????????,we want back mizanur rahman azhari channel ???????????????????????????? 0:43 ????????????????????????????
"Yeah I just finished my 30 day trial of FSD and while it is decent, it still struggles a LOT. So much in fact that I can never truly relax. The other day it stopped right in the middle of a turn and just sat there so I took over because If i hadn't, accident waiting to happen. It needs a LOT more work and it is NOT Self-driving in the truest sense of the word. It struggles on highways as well, failing to drive naturally and follow cars at normal distances. Is it worth 8K? No. Is it worth 99 for the month if you're doing a road trip? Hell YES.","Yeah I just finished my 30 day trial of FSD and while it is decent, it still struggles a LOT. So much in fact that I can never truly relax. The other day it stopped right in the middle of a turn and just sat there so I took over because If i hadn't, accident waiting to happen. It needs a LOT more work and it is NOT Self-driving in the truest sense of the word. It struggles on highways as well, failing to drive naturally and follow cars at normal distances. Is it worth 8K? No. Is it worth 99 for the month if you're doing a road trip? Hell YES."
"Every week 4ra surprises us with some cool prizes, that’s why I stick with them","Every week 4ra surprises us with some cool prizes, that’s why I stick with them"
"4ra’s betting scene is something else, yaar. Never disappointing with the odds and prizes","4ra’s betting scene is something else, yaar. Never disappointing with the odds and prizes"
Hacked,Hacked
"Love how 4ra keeps everything transparent, makes me trust betting with them more","Love how 4ra keeps everything transparent, makes me trust betting with them more"
Hacked,Hacked
Are people this lazy now..,Are people this lazy now..
Give gio his acc now!,Give gio his acc now!
Please don't hake this channel,Please don't hake this channel
It's amazing what FSD can do when you cherry pick all the situations it handled well.,It's amazing what FSD can do when you cherry pick all the situations it handled well.
"So, can a whole traffic system of these allow emergency vehicles (autonomous or not) to fly through traffic?","So, can a whole traffic system of these allow emergency vehicles (autonomous or not) to fly through traffic?"
You hack naughty production chanel,You hack naughty production chanel
БЫСТРО ВЕРНУЛИ ЕЙ АКК,Quickly returned to her AKK
Why Tesla hacki' indian youtuber,Why Tesla hacki' indian youtuber
Beautiful,Beautiful
"SUPER IDEA . POZDRAWIAM WSZYSTKICH , BAERDZO
SERDECZNIE .","SUPER IDEA . POZDRAWIAM WSZYSTKICH , BAERDZO
SERDECZNIE ."
"Why are they pirating the official BPM entertainment channel????, they deleted all the music videos, what a shame that someone with so much power starts pirating small channels and making fans suffer.","Why are they pirating the official BPM entertainment channel????, they deleted all the music videos, what a shame that someone with so much power starts pirating small channels and making fans suffer."
NAAAAAAAAAAAAAAAAAAAAAOOOO HACKEARO MEU MANO TEU,Naaaaaaaaaaaaaaaaaaaooooo hackero my bro your
Lan b?rak lan kanal? ceyto abim alacak lan,Lan lan the channel gyto my brother will take lan man
I’m broke right now but I’ll eventually buy one lol,I’m broke right now but I’ll eventually buy one lol
Do I have to keep my hand on the steering wheel or not? The video shows no hands on the steering wheel. I am confused,Do I have to keep my hand on the steering wheel or not? The video shows no hands on the steering wheel. I am confused
Верните акк Василисе,The faithful AKK Vasilise
"Dear Elon Musk
Please for the love of God, stop talking on Twitter, stop getting involved in politics and stop starting international drama.
Please start focusing on your businesses, such as Tesla. You're clearly not reaching your production goals on time.
Greetings for your Shareholders","Dear Elon Musk
Please for the love of God, stop talking on Twitter, stop getting involved in politics and stop starting international drama.
Please start focusing on your businesses, such as Tesla. You're clearly not reaching your production goals on time.
Greetings for your Shareholders"
"Guys, this is a false channel!!!!!!","Guys, this is a false channel!!!!!!"
